pdbid,-logKd/Ki
"3a2o","9.08"
"3a3y","9.15"
"3a4o","8.89"
"3a4p","7.55"
"3a5y","7.96"
"3a6t","7.28"
"3a73","3.38"
"3a9i","4.15"
"3aaq","3.30"
"3fpm","5.05"
"3fq7","2.52"
"3fqa","0.49"
"3fqe","8.30"
"3fqh","6.24"
"3fqk","7.09"
"3fql","7.15"
"3fqs","7.39"
"3fr2","6.23"
"3fr4","6.19"
"3fr5","6.35"
"3gjw","8.30"
"3gk1","4.10"
"3gk2","2.70"
"3gk4","3.92"
"3gkz","8.00"
"3gl6","4.68"
"3gm0","7.77"
"3gn7","8.30"
"3gnv","7.03"
"3gol","7.09"
"3gp0","7.44"
"3gpe","5.74"
"3hha","7.90"
"3hhk","8.22"
"3hhm","7.92"
"3hhu","7.39"
"3hig","7.89"
"3hii","6.54"
"3hik","6.35"
"3hio","6.52"
"3hit","8.19"
"3hiv","8.12"
"2w3l","7.52"
"2w3o","6.72"
"2w47","4.98"
"2w4i","6.30"
"2w54","6.98"
"2w5g","6.07"
"2w5i","4.54"
"2w67","4.96"
"2w68","4.74"
"2w6c","8.41"
"2w6m","4.67"
"2w6n","6.90"
"3eft","7.92"
"3efw","8.40"
"3eg6","5.77"
"3egk","4.66"
"3egt","8.90"
"3ehn","1.92"
"3eht","5.17"
"3ehw","4.82"
"3ehx","7.60"
"3eid","6.35"
"3f8c","7.68"
"3f8e","7.23"
"3f8f","6.63"
"3f8s","7.89"
"3f8w","4.08"
"3f9n","5.89"
"3f9w","4.72"
"3f9y","4.49"
"3fa3","5.60"
"3faa","8.15"
"3dpk","8.39"
"3dpo","8.26"
"3drf","7.00"
"3drg","7.00"
"3dri","4.42"
"3drp","9.70"
"3drr","9.40"
"3drs","9.30"
"3ds0","4.83"
"3ds1","5.70"
"3ds3","5.22"
"3ds4","4.19"
"3dcs","7.94"
"3dei","7.40"
"3doy","5.82"
"3dxk","6.33"
"3e0q","5.89"
"3e73","3.15"
"3efs","5.34"
"3g4f","4.52"
"3g4g","9.04"
"3g4i","9.04"
"3g4k","6.54"
"3g4l","8.24"
"3g58","9.28"
"3g5d","7.96"
"3g5k","9.52"
"3g5v","7.80"
"3gy2","5.74"
"3gy3","5.63"
"3gy7","4.52"
"3gyn","7.21"
"3gz9","8.40"
"3gzn","8.00"
"3h03","3.87"
"3h06","3.53"
"3h0a","7.48"
"3h0b","5.49"
"3h0e","8.15"
"3h0j","6.49"
"3h0q","6.07"
"2wez","7.64"
"2wf0","6.68"
"2wf1","8.70"
"2wf2","7.59"
"2wf3","7.72"
"2wf4","7.89"
"2wf5","6.00"
"2wfg","4.42"
"2wfj","7.15"
"3g90","6.36"
"3g9e","7.72"
"3g9l","6.13"
"3g9n","5.74"
"3ga5","5.49"
"3gb2","7.47"
"3gba","9.07"
"3gbe","5.00"
"3gbq","5.46"
"3gc4","7.60"
"3fzs","5.82"
"3fzt","6.20"
"3fzy","6.74"
"3g08","8.16"
"3g0c","5.70"
"3g0d","8.30"
"3g0e","7.70"
"3kba","7.80"
"3kbz","6.91"
"3kc0","7.92"
"3kc1","9.00"
"3kc3","6.80"
"3kce","4.80"
"3kcf","7.46"
"3kck","9.10"
"3kd7","3.70"
"3k48","6.31"
"3k4d","5.11"
"3k4q","5.34"
"3k54","9.00"
"3k5c","7.77"
"3k5d","7.28"
"3k5f","5.43"
"3k5g","8.60"
"3k5i","4.70"
"3k5k","7.64"
"3doz","5.70"
"3dp0","5.85"
"3dp1","5.00"
"3dp2","5.82"
"3dp3","5.82"
"3dp9","9.68"
"3dpc","4.36"
"3dpd","5.78"
"3dpe","7.24"
"3dpf","7.24"
"3jzf","5.30"
"3jzg","4.40"
"3jzh","3.40"
"3jzi","5.30"
"3jzj","3.61"
"3jzk","5.91"
"3jzo","8.52"
"3jzp","6.60"
"3jzq","6.96"
"3jzr","7.44"
"3jzs","8.10"
"3k00","5.77"
"3k02","5.00"
"3k05","4.85"
"3k0h","4.60"
"3k0k","5.43"
"3k15","4.92"
"2wxd","5.48"
"2wxf","6.74"
"2wxg","9.15"
"2wxh","8.05"
"2wxi","8.15"
"2wxj","9.00"
"2wxl","8.34"
"2zof","8.15"
"2zoq","6.05"
"2zp0","7.60"
"2zpk","7.76"
"2zq0","6.82"
"2zq1","6.62"
"2zsc","7.06"
"2zu3","6.10"
"2zu4","7.42"
"2zu5","7.00"
"2zv2","6.30"
"2zv9","8.05"
"2zva","7.96"
"2zwz","7.79"
"2zx5","12.33"
"3eu5","7.49"
"3eu7","6.18"
"3evc","6.91"
"3evf","6.77"
"3ew2","6.67"
"3ewc","7.70"
"3ewh","7.16"
"3ewj","6.84"
"3ewu","4.62"
"3ewz","4.10"
"3ex2","3.70"
"3ex3","4.44"
"3fcl","3.50"
"3fdm","8.70"
"3fdn","7.48"
"3fdt","4.52"
"3fe7","7.12"
"3fea","7.44"
"3fed","7.46"
"2vr4","5.68"
"2vrj","6.30"
"2vrx","7.35"
"2vsl","8.40"
"2vt3","4.15"
"2vta","3.73"
"2vtd","4.07"
"2vte","3.91"
"2vth","3.92"
"2vti","6.18"
"2vtj","5.72"
"2vtl","4.01"
"3fu6","3.97"
"3fuc","9.72"
"3fud","2.70"
"3fue","2.82"
"3fuf","2.70"
"3fuh","2.70"
"3fui","6.80"
"3fuj","3.63"
"3fuk","3.02"
"2w76","5.00"
"2w77","9.19"
"2w78","8.57"
"2w7x","7.62"
"2w7y","6.08"
"2w85","5.04"
"2w87","4.65"
"2w8f","6.30"
"2w8g","6.00"
"2w8j","2.96"
"2w8w","2.12"
"2w8y","9.09"
"2w92","4.55"
"3ith","8.10"
"3itz","8.85"
"3iu7","4.80"
"3iu8","6.24"
"3iu9","6.62"
"3iub","4.54"
"3iuc","5.66"
"3iue","5.82"
"3iut","6.34"
"3iux","7.60"
"3ivc","4.12"
"3ivh","7.33"
"3e7a","10.00"
"3e7b","9.80"
"3e7o","6.92"
"3e81","1.43"
"3e85","5.38"
"3e8n","7.72"
"3e8r","9.74"
"3e8u","9.42"
"3e90","7.39"
"3e9b","5.35"
"3eos","8.40"
"3eou","7.01"
"3eov","7.20"
"3eq7","9.09"
"3eq9","7.39"
"3eqb","1.82"
"3eql","5.30"
"3eqr","8.70"
"3fts","3.67"
"3ftu","3.61"
"3ftv","2.93"
"3ftw","2.78"
"3fty","3.21"
"3ftz","2.70"
"3fu0","2.28"
"3fu3","2.84"
"3fu5","4.12"
"3hww","7.12"
"3hwx","7.86"
"3hx3","8.00"
"3hxb","5.39"
"3hxc","5.28"
"3hxd","5.05"
"3hxe","5.33"
"3hxf","4.96"
"3hxi","6.33"
"3h98","8.30"
"3h9f","7.92"
"3h9k","7.85"
"3h9o","7.15"
"3ha6","5.68"
"3hab","8.38"
"3hac","8.17"
"3hau","6.38"
"3hav","3.77"
"2zx7","10.49"
"2zx8","9.64"
"2zxa","8.35"
"2zxb","5.30"
"2zxd","5.22"
"2zxg","8.82"
"3di6","7.00"
"3diw","6.72"
"3djf","6.10"
"3djk","10.59"
"3djo","4.39"
"3djp","4.20"
"3djq","2.98"
"3djv","4.55"
"3djx","2.81"
"3dk1","9.74"
"3dkf","8.57"
"3dkg","5.00"
"3dkj","5.70"
"3dla","3.46"
"3igp","7.02"
"3igv","7.60"
"3ihz","6.80"
"3ii5","7.62"
"3iit","8.02"
"3iiw","4.44"
"3iiy","4.80"
"3ij0","4.88"
"3ijg","4.27"
"3ijh","4.00"
"3hqz","9.38"
"3hr1","9.43"
"3hrb","7.68"
"3hs4","8.00"
"3hs8","5.30"
"3hs9","6.31"
"3hu1","6.89"
"3hu2","7.22"
"3fl9","1.11"
"3fmq","7.95"
"3fmr","7.97"
"3fmz","8.08"
"3fnm","4.71"
"3fnu","6.16"
"3fpd","6.15"
"2k1q","6.22"
"2k2g","8.12"
"2k2r","2.89"
"2k31","8.70"
"2k3w","5.24"
"2k46","4.58"
"2k4i","3.84"
"2k62","4.70"
"2k7l","6.15"
"2kaw","4.97"
"2kbr","4.60"
"2kbs","5.00"
"2kce","6.17"
"2kdh","2.96"
"2ke1","5.30"
"2kff","3.61"
"2rol","4.62"
"2rox","4.98"
"2rqu","4.63"
"2rr4","4.78"
"2rt5","6.72"
"2rvn","6.77"
"2sfp","1.70"
"2sim","3.42"
"2srt","6.64"
"2std","9.85"
"2tmn","5.89"
"2toh","4.15"
"2tpi","4.31"
"2tsr","7.54"
"2upj","7.39"
"2usn","6.51"
"2uue","6.13"
"3bm8","3.54"
"3bm9","6.72"
"3bmn","4.46"
"3bmo","5.27"
"3bmq","5.49"
"3bmy","7.52"
"3bpc","4.80"
"3bqc","5.73"
"3bqn","8.60"
"3br9","7.21"
"3bra","2.70"
"3brn","8.70"
"3bsc","4.48"
"3d27","4.25"
"3d28","5.85"
"3d2e","6.42"
"3d2r","5.48"
"3d2t","7.12"
"3d32","6.45"
"3d3x","4.16"
"3d45","5.68"
"3d4f","7.72"
"2qfo","4.70"
"2qft","5.26"
"2qfu","4.18"
"2qg0","5.72"
"2qg2","5.40"
"2qh6","6.00"
"2qhc","8.96"
"2qhd","5.38"
"2qhm","6.18"
"2qhn","6.01"
"3c7q","7.68"
"3c88","6.80"
"3c89","6.07"
"3c8a","6.18"
"3c8b","6.10"
"3c8e","4.15"
"3c94","6.87"
"3c9e","8.00"
"3caj","8.10"
"3cbp","5.60"
"3cbs","7.24"
"3ccb","4.52"
"2w0j","6.62"
"2w0p","6.52"
"2w0s","3.30"
"2w0z","4.03"
"2w10","6.77"
"2w12","4.65"
"2w16","10.00"
"2w17","8.70"
"2w1c","8.00"
"3byu","9.10"
"3bz3","8.82"
"3bze","6.00"
"3bzf","4.52"
"3bzi","5.74"
"3c0z","3.95"
"3c10","6.52"
"3c14","3.52"
"2zgm","1.79"
"2zgx","6.74"
"2zhd","6.54"
"2zif","4.37"
"2zir","8.19"
"2zis","8.55"
"2zit","4.46"
"2zjf","7.72"
"2zju","5.81"
"3ch9","3.30"
"3chc","4.09"
"3chd","4.92"
"3che","5.29"
"3chf","5.37"
"3chg","3.99"
"3cho","6.55"
"3chp","5.27"
"3chq","7.70"
"3chr","7.21"
"3chs","7.77"
"3cib","7.85"
"3cic","8.52"
"3cid","8.30"
"3cii","6.10"
"3cj2","4.85"
"3cj3","4.24"
"3dct","6.95"
"3dcv","8.52"
"3dcw","9.00"
"3dd8","7.85"
"3ddf","4.66"
"3ddg","6.00"
"3ddp","7.14"
"3ddq","6.68"
"3ddu","7.40"
"3deh","6.83"
"2r6n","9.00"
"2r6w","9.36"
"2r6y","9.49"
"2r75","6.15"
"2r7b","7.22"
"2r7g","6.05"
"2r8q","3.24"
"2r9b","6.57"
"2r9m","8.82"
"3eka","3.00"
"3ekn","8.40"
"3eko","6.70"
"3ekp","8.89"
"3ekq","6.75"
"3ekr","7.52"
"3eks","5.70"
"3ekt","10.59"
"3ekv","9.41"
"3ekw","7.96"
"3ekx","9.41"
"3eky","9.64"
"3el0","7.47"
"3el1","9.64"
"3el5","7.72"
"3el7","6.32"
"3e12","5.99"
"3e16","5.24"
"3e1r","5.82"
"3e2m","9.40"
"3e37","5.39"
"3e3b","7.96"
"3e3c","5.62"
"3e3u","7.89"
"3e4a","8.77"
"3fw4","9.40"
"3fzr","7.96"
"3g0f","7.66"
"3g2i","4.86"
"3g2w","5.66"
"3g45","8.36"
"3g8o","7.80"
"3gpj","5.11"
"3gxz","7.89"
"3ex6","3.66"
"3exe","6.96"
"3exf","6.54"
"3exh","4.88"
"3exo","4.62"
"3eyd","9.70"
"3eyf","7.03"
"3eyg","8.80"
"3eyh","7.70"
"3eyl","6.60"
"3eys","5.52"
"3eyu","7.62"
"3ezr","5.00"
"2pll","8.30"
"2pmc","4.19"
"2pmk","5.92"
"2pmn","5.20"
"2pnc","3.33"
"2pnx","5.10"
"2poq","4.42"
"2pou","7.42"
"2pov","7.12"
"2jmj","5.04"
"2jnp","6.89"
"2jnw","6.11"
"2jo9","4.28"
"2joa","5.96"
"2jq9","4.48"
"2jqi","5.00"
"2jqk","3.40"
"3ctr","5.16"
"3ctt","6.35"
"3cvk","8.00"
"3cwe","6.92"
"3cwj","8.00"
"3cwk","6.60"
"3cx9","4.89"
"3cy2","7.22"
"3cyu","7.22"
"3cyw","7.77"
"3cyx","8.00"
"2qu3","6.23"
"2qu5","8.06"
"2qu6","8.52"
"2qv7","3.66"
"2qve","2.32"
"2qw1","3.90"
"2qwb","2.74"
"2qwc","3.55"
"2qwd","4.85"
"2qwe","7.48"
"2qwf","5.67"
"2qwg","3.64"
"2qx0","6.11"
"2qyk","5.48"
"2qyl","6.19"
"2qyn","6.24"
"3b8q","9.30"
"3b8r","9.22"
"3b8z","6.54"
"3b95","5.15"
"3b9g","4.72"
"3b9s","5.30"
"3bar","5.70"
"3bb1","3.60"
"3bbb","7.00"
"3bbf","5.28"
"3bbt","6.15"
"3bc3","6.81"
"3bc4","5.35"
"3bcn","7.12"
"3dv5","7.66"
"3dvp","5.00"
"3dwb","6.19"
"3dx0","7.44"
"3dx3","6.52"
"3dx4","7.12"
"3dxj","6.22"
"3f3w","7.47"
"3f48","6.29"
"3f5j","4.28"
"3f5k","4.62"
"3f5l","3.72"
"3f5p","6.85"
"3f66","6.05"
"3f68","5.06"
"3f69","6.00"
"3f6e","2.38"
"3f6g","4.72"
"3f6h","4.72"
"3f70","4.85"
"2v5x","6.66"
"2v6n","5.86"
"2v77","5.06"
"2v7d","6.59"
"2v83","4.47"
"2v85","4.46"
"2v86","4.46"
"2v87","4.60"
"2v88","4.09"
"2v8w","6.82"
"2qzk","7.57"
"2r6f","8.00"
"2r9s","6.82"
"2rip","7.19"
"2rkn","7.22"
"2uuo","3.77"
"2uyw","13.00"
"2vcb","5.26"
"2vip","5.28"
"2vr3","4.98"
"3bun","6.21"
"3buo","6.06"
"3buw","5.83"
"3bux","5.63"
"3bv2","9.36"
"3bv3","9.34"
"3bva","6.52"
"3bvb","5.49"
"3bwf","9.70"
"2q8y","3.99"
"2q8z","5.68"
"2q92","5.96"
"2q93","6.25"
"2q94","6.43"
"2q95","5.80"
"2q96","5.92"
"2q9n","6.37"
"2q9y","4.44"
"3bho","5.61"
"3bhx","9.15"
"3bi0","7.85"
"3bi1","9.92"
"3bi6","7.82"
"3bim","5.88"
"3biz","7.24"
"3bjc","6.96"
"2vuk","3.90"
"2vur","4.52"
"2vv9","7.77"
"2vvc","8.52"
"2vvo","2.20"
"2vvs","7.34"
"2vvt","5.24"
"2vvu","8.10"
"2vvv","8.22"
"2vw1","3.52"
"2vw2","3.30"
"2jbj","9.70"
"2jbk","6.40"
"2jbl","5.89"
"2jbo","8.07"
"2jbp","8.07"
"2jbu","3.40"
"2jbv","3.54"
"2jc0","4.70"
"2jdh","6.51"
"2jdk","6.54"
"2jdl","9.43"
"2jdm","5.40"
"2jdn","5.56"
"2jdo","6.64"
"2jdp","6.60"
"2jds","8.20"
"3c3r","4.39"
"3c43","7.72"
"3c45","9.68"
"3c49","7.15"
"3c4c","6.80"
"3c4e","4.00"
"3c4f","5.72"
"3c4h","5.70"
"3c52","7.30"
"2qmj","4.21"
"2qn1","4.77"
"2qn2","4.55"
"2qnb","5.34"
"2qnx","5.62"
"2qnz","5.42"
"2qo1","5.57"
"2vj8","8.70"
"2vj9","6.74"
"2vk2","6.89"
"2vk6","5.30"
"2vl1","1.35"
"2vl4","6.01"
"2vl8","4.52"
"2vle","7.10"
"2vmc","2.94"
"2vmd","3.02"
"2vmf","5.85"
"2vnf","5.52"
"2vnm","8.52"
"2r1x","4.80"
"2r23","3.72"
"2r2b","4.20"
"2r2l","9.00"
"2r2m","7.33"
"2r2w","4.47"
"2r38","7.44"
"2r3f","6.30"
"2r3g","6.10"
"2r3h","4.70"
"2r3i","6.00"
"2r3j","8.00"
"2r3k","7.00"
"2zjw","7.70"
"2zkj","5.48"
"2zlf","4.51"
"2zlg","5.59"
"2zm1","6.66"
"2zm3","6.21"
"2zmd","7.01"
"2zmj","7.52"
"2zmm","7.60"
"2zn7","7.89"
"2zns","6.54"
"2znt","9.30"
"2znu","8.11"
"2zo3","10.00"
"3be2","8.70"
"3be9","7.62"
"3bea","8.15"
"3bel","7.85"
"3bet","5.82"
"3bex","5.57"
"3bf1","2.52"
"3bft","6.49"
"3bfu","6.27"
"3bg8","5.89"
"3ce0","6.15"
"3ce3","8.74"
"3cen","8.26"
"3cf1","6.64"
"3cf8","4.90"
"3cf9","4.83"
"3cfn","5.00"
"3cfs","5.96"
"3cft","4.19"
"3cfv","6.05"
"3cgf","6.57"
"3cgo","5.52"
"3cgy","3.15"
"2zaz","6.40"
"2zb0","6.62"
"2zbk","5.70"
"2zc9","6.74"
"2zcs","8.22"
"2zdk","6.37"
"2zdl","6.40"
"2zdm","6.41"
"3b8h","4.20"
"3bcs","5.21"
"3bhb","8.47"
"3bm6","7.59"
"3bt9","5.71"
"3bys","9.30"
"3c1k","9.44"
"3c3q","4.32"
"3c56","7.89"
"3coh","8.40"
"3cr4","4.28"
"3ctq","7.40"
"3d25","7.66"
"3d4l","7.49"
"2pix","4.30"
"2piy","7.70"
"2piz","6.77"
"2pj0","8.09"
"2pj1","8.01"
"2pj2","7.92"
"2pj3","8.18"
"2pj4","7.89"
"2pj5","7.82"
"2pj6","7.31"
"2rjp","7.00"
"2rjs","2.28"
"2rk7","4.05"
"2rk8","3.64"
"2rka","3.00"
"2rkd","2.72"
"2rke","4.08"
"2rkf","9.08"
"2rkg","8.09"
"2rkm","3.90"
"3cj5","6.34"
"3cjf","8.20"
"3cjo","8.66"
"3ck7","4.05"
"3ck8","3.84"
"3ckb","2.98"
"3ckp","6.35"
"3ckr","5.30"
"3ckt","6.32"
"2vd4","4.74"
"2vd7","5.38"
"2ves","7.70"
"2veu","7.00"
"2vev","6.52"
"2vew","7.19"
"2vex","6.74"
"2vey","7.37"
"2vf6","8.52"
"2vfk","3.71"
"2vfz","3.61"
"3daz","7.93"
"3db6","6.14"
"3db8","7.00"
"3dba","8.00"
"3dbd","7.38"
"3dbs","7.12"
"3dc2","3.02"
"3dc3","8.31"
"3dcc","8.96"
"3dcq","5.23"
"3dcr","8.20"
"2qrh","4.71"
"2qrk","4.26"
"2qrl","4.00"
"2qrm","4.03"
"2qrp","6.20"
"2qrq","5.10"
"2qry","8.64"
"2qt5","5.03"
"2qt9","8.64"
"2qta","5.76"
"2qtb","8.32"
"2qtg","5.08"
"2qtn","3.42"
"2qtr","5.49"
"2qtt","4.32"
"2qtu","9.28"
"2qu2","5.43"
"3d4q","10.52"
"3d4y","5.70"
"3d50","4.77"
"3d51","4.15"
"3d52","3.28"
"3d5m","8.00"
"3d62","6.10"
"3d67","4.96"
"3d6p","3.75"
"2pj7","7.77"
"2pj8","7.74"
"2pj9","7.92"
"2pja","8.66"
"2pjb","7.72"
"2pjc","8.72"
"2pjt","6.07"
"2pk5","10.70"
"2pk6","10.89"
"2pks","4.96"
"2pl0","7.21"
"2vtm","3.00"
"2vtn","6.07"
"2vto","6.85"
"2vtp","8.52"
"2vtq","6.85"
"2vtr","5.82"
"2vts","7.52"
"2vtt","7.36"
"2vx0","6.24"
"2vx1","6.66"
"2vx9","7.44"
"2vxj","4.17"
"2vxn","5.00"
"2vyt","2.74"
"2vzr","4.28"
"2w05","9.00"
"2w06","7.08"
"2w08","3.42"
"2w0d","8.70"
"3ds6","9.10"
"3ds9","7.39"
"3dst","9.08"
"3dsu","7.03"
"3dsz","7.77"
"3dt1","8.62"
"3dtc","7.59"
"3dux","7.00"
"3duy","5.85"
"2ow6","2.70"
"2ow7","4.85"
"2ow9","7.52"
"2owb","6.36"
"2oxd","6.82"
"2oxn","7.44"
"2oxx","6.70"
"2oxy","6.52"
"2oyk","5.30"
"2oym","5.00"
"2oz2","5.71"
"2oz5","6.48"
"2w6p","6.48"
"2w6q","4.60"
"2w6t","8.57"
"2w6u","5.00"
"2w6z","2.82"
"2w70","4.92"
"2w71","6.48"
"2w73","6.52"
"2z5s","5.66"
"2z5t","5.62"
"2z60","8.05"
"2z6w","7.87"
"2z78","6.12"
"2z7g","8.95"
"2z7h","6.94"
"2z7i","7.00"
"3btc","5.75"
"3bti","6.14"
"3btj","5.62"
"3btl","5.96"
"3btr","5.30"
"3bu1","8.15"
"3bu6","5.89"
"3bu8","6.92"
"3buf","3.10"
"3bug","3.18"
"3buh","3.66"
"3bum","6.49"
"3dej","8.00"
"3dek","7.57"
"3dg8","4.70"
"3dga","4.52"
"3dgl","6.60"
"3dgn","6.21"
"3dgo","6.74"
"3dgq","4.92"
"3dhk","7.33"
"3e9h","7.55"
"3e9i","6.22"
"3eb1","4.79"
"3ebb","5.30"
"3ebh","6.32"
"3ebi","7.10"
"3ebl","6.30"
"3ebo","4.72"
"3ecn","3.16"
"3ee2","4.19"
"3eeb","5.89"
"3efj","7.41"
"3efk","7.85"
"2ptz","7.82"
"2pu0","7.82"
"2pu1","5.85"
"2puy","4.52"
"2pv1","7.14"
"2pv2","5.91"
"2pv3","5.25"
"2pvh","6.59"
"2pvj","8.10"
"2eep","7.06"
"2eg7","5.89"
"2eg8","4.50"
"2eh8","7.96"
"2emt","6.70"
"2er0","6.38"
"2er6","7.22"
"2og8","9.30"
"2ogy","4.48"
"2oh0","7.74"
"2oh4","8.46"
"2ohk","2.70"
"2ohl","3.05"
"2ohm","3.51"
"2ohp","4.03"
"2ohq","4.60"
"2ohr","4.00"
"2ohs","4.40"
"2oht","5.04"
"2ohu","5.38"
"2r3l","7.00"
"2r3m","8.00"
"2r3n","7.15"
"2r3o","6.22"
"2r3p","6.05"
"2r3t","5.85"
"2r3w","6.89"
"2r3y","5.49"
"2r43","6.00"
"2uw8","4.11"
"2uwd","8.35"
"2uwl","8.40"
"2uwo","8.70"
"2uwp","6.81"
"2uxi","7.30"
"2uxu","4.74"
"2uxx","3.30"
"2uxz","8.48"
"2uy0","6.92"
"2uy3","3.22"
"2uy5","5.49"
"2uyi","6.32"
"2uym","5.51"
"2uyn","2.70"
"2uyq","5.68"
"2hxm","5.22"
"2hxq","6.84"
"2hyy","6.77"
"2hz4","5.47"
"2hzi","7.15"
"2hzl","6.57"
"2hzn","7.39"
"2hzy","7.39"
"2i03","9.00"
"2i0a","11.40"
"2ony","6.68"
"2onz","8.89"
"2oo8","9.00"
"2ooz","5.15"
"2op3","6.31"
"2op9","5.66"
"2opb","8.74"
"2p3a","7.96"
"2p3b","8.48"
"2p3c","7.62"
"2p3d","6.74"
"2p3g","6.90"
"2p3i","3.48"
"2p3o","2.77"
"2p4i","8.00"
"2p4j","8.96"
"2p4s","9.51"
"2p53","7.46"
"2p59","7.30"
"2o63","6.11"
"2o64","6.47"
"2o65","6.19"
"2o7e","6.22"
"2o7n","7.82"
"2o7v","5.96"
"2o8h","7.60"
"2o9a","3.81"
"2o9i","7.40"
"2q2n","6.48"
"2q2y","8.80"
"2q2z","8.70"
"2q38","5.23"
"2q3z","7.22"
"2q54","9.01"
"2q55","8.69"
"2q5k","11.30"
"2q63","7.18"
"2q64","8.52"
"2q6b","9.52"
"2q6c","7.78"
"2q6f","5.44"
"2q6h","3.60"
"2giu","8.82"
"2gj4","6.50"
"2gj5","8.32"
"2gkl","5.35"
"2gl0","4.82"
"2glm","5.37"
"2glp","5.01"
"2gm1","7.00"
"2gm9","7.39"
"2gmk","3.23"
"2gmv","6.20"
"2gmx","7.11"
"2gnf","5.22"
"2nxd","5.66"
"2o3z","5.70"
"2o5k","7.82"
"2o9j","6.92"
"2obf","8.85"
"2ofv","9.70"
"2ohv","6.46"
"2onc","7.89"
"2osc","7.77"
"2ow3","8.52"
"2oz6","5.26"
"2p33","7.24"
"2itk","7.69"
"2itp","7.95"
"2itt","8.77"
"2ity","7.27"
"2itz","8.59"
"2iu0","6.89"
"2iuz","5.55"
"2iv9","4.34"
"2qju","4.10"
"2qk5","8.10"
"2qk8","7.91"
"2qki","6.41"
"2qky","9.61"
"2ql5","8.10"
"2ql7","6.26"
"2ql9","9.03"
"2jk9","6.82"
"2jkh","8.05"
"2jkk","8.20"
"2jkm","7.75"
"2jko","8.11"
"2jkp","4.23"
"2jkq","8.11"
"2jkr","6.07"
"2jkt","6.51"
"2jld","10.40"
"2oi0","7.55"
"2oi2","6.30"
"2oi3","6.64"
"2oi9","5.70"
"2oic","8.40"
"2oiq","5.00"
"2oj9","6.41"
"2ojf","6.96"
"2ojg","5.64"
"2osf","3.83"
"2osm","6.20"
"2ot1","4.00"
"2ou7","3.81"
"2ov4","4.74"
"2ovq","7.15"
"2ovv","7.92"
"2ovx","8.70"
"2ovy","8.40"
"2ovz","7.89"
"2ow0","6.70"
"2ow1","9.00"
"2ow2","8.22"
"2dw7","4.70"
"2dwx","3.74"
"2dxs","7.34"
"2e1w","7.96"
"2e27","9.35"
"2e2b","7.96"
"2e2p","4.74"
"2e2r","8.26"
"2e5y","5.85"
"2e7f","6.10"
"2e7l","7.54"
"2e91","6.59"
"2e92","6.89"
"2e93","6.96"
"2e94","8.00"
"2e95","7.10"
"2e98","6.23"
"2rfh","6.82"
"2rfn","8.30"
"2rfy","5.22"
"2rg5","8.51"
"2rg6","8.66"
"2rgp","7.52"
"2rgu","9.00"
"2ri9","3.22"
"2ria","2.57"
"2rib","2.82"
"2rin","4.00"
"2rio","4.69"
"2uzv","5.87"
"2v0c","5.68"
"2v0n","6.30"
"2v0z","9.22"
"2v10","9.40"
"2v11","8.52"
"2v12","9.05"
"2v13","7.59"
"2v16","8.22"
"2viq","5.89"
"2viv","6.28"
"2viw","7.14"
"2viy","5.74"
"2viz","6.22"
"2vj1","5.30"
"2vj6","7.89"
"2vj7","7.40"
"2p99","5.94"
"2p9a","5.18"
"2pax","6.74"
"2pbw","8.25"
"2pcp","8.70"
"2pcu","3.04"
"2pe0","7.10"
"2pe1","8.30"
"2peh","5.96"
"2j4a","10.60"
"2j4g","6.60"
"2j4i","9.00"
"2j4k","4.85"
"2j4q","4.46"
"2j4z","7.19"
"2j50","7.89"
"2j62","11.34"
"2j6m","7.96"
"2obo","7.24"
"2oc0","7.82"
"2oc1","5.37"
"2oc2","8.52"
"2oc7","5.85"
"2oc9","7.96"
"2odd","3.96"
"2oei","3.91"
"2of2","6.68"
"2of4","7.09"
"2off","6.52"
"2ofu","9.00"
"2vcg","5.77"
"2vci","7.68"
"2vcj","7.68"
"2vcq","6.04"
"2vcw","3.05"
"2vcx","7.68"
"2vd0","4.94"
"2vd1","6.86"
"2g72","6.50"
"2g78","6.92"
"2g79","6.92"
"2g83","5.92"
"2g8n","7.20"
"2g8r","3.99"
"2g94","9.52"
"2g96","4.28"
"2g97","6.82"
"2g9q","6.40"
"2g9r","6.08"
"2ien","9.00"
"2ieo","8.49"
"2ig0","4.71"
"2igv","2.23"
"2igw","1.31"
"2igx","7.27"
"2igy","6.95"
"2ihj","4.59"
"2ihq","8.49"
"2iit","8.59"
"2nxl","6.27"
"2nxm","5.19"
"2nyr","4.66"
"2o0u","5.49"
"2o1c","4.72"
"2o1v","5.30"
"2o22","7.17"
"2o2u","6.40"
"2o3p","5.96"
"3bki","5.12"
"3bkk","6.08"
"3bl0","6.92"
"3bl1","5.60"
"3bl2","5.80"
"3bl7","8.40"
"3bl9","7.18"
"3bla","8.70"
"3blr","8.19"
"3bls","5.14"
"3blt","3.54"
"3blu","3.46"
"2hmb","5.59"
"2hmh","7.15"
"2hmu","7.70"
"2hmw","7.70"
"2hnc","7.22"
"2hnx","7.08"
"2hny","5.93"
"2hob","5.72"
"2qa8","6.00"
"2qaf","5.36"
"2qbs","6.68"
"2qbu","6.19"
"2qbw","7.25"
"2qbx","5.22"
"2qc6","7.00"
"2qcd","3.40"
"2qcf","3.49"
"2qcg","4.00"
"2qch","3.60"
"2jdu","6.72"
"2jdv","8.20"
